k,cv_AUROC,test_AUROC,test_acc
1,0.8438316993464052,0.8732302533532043,0.861904761904762
2,0.8874428104575163,0.9150987332339791,0.861904761904762
4,0.8954493464052288,0.9168801229508196,0.8809523809523809
7,0.8993845315904141,0.9183587928464979,0.8833333333333333
11,0.9008218954248367,0.923761177347243,0.888095238095238
12,0.9044509803921569,0.925996646795827,0.8857142857142857
15,0.9065964052287582,0.92788282414307,0.8785714285714286
16,0.905886165577342,0.9279992548435171,0.8833333333333333
20,0.9081922657952068,0.9277896795827124,0.8738095238095238
21,0.909113834422658,0.9279759687034277,0.8690476190476191
22,0.9095751633986927,0.9268349478390462,0.8690476190476191
23,0.9086279956427015,0.9251583457526081,0.8595238095238096
