k,cv_R2,test_R2,test_1-R2
1,0.1315879488952457,0.13030193535218793,0.8696980646478121
2,0.20128932608058073,0.19795938966585647,0.8020406103341435
3,0.2183412842120719,0.21379475691841499,0.786205243081585
5,0.23531269753834247,0.22810728169672445,0.7718927183032755
6,0.2501171725851002,0.23916309488793097,0.760836905112069
7,0.26034245075583495,0.24654236482457192,0.7534576351754281
8,0.2711256278851942,0.25266366792703776,0.7473363320729622
9,0.2758147590862585,0.2587714490779438,0.7412285509220562
10,0.27727999141021203,0.2613051023348736,0.7386948976651264
11,0.2766642433317939,0.2603683495533575,0.7396316504466425
